Date,Classification,AvgPnL,TotalPnL,TotalVolume,WinRate,Sentiment score,RollingPnL
2023-12-17,Greed,-12.531073000000001,-12.531073000000001,8380.22,0.0,73,
2023-12-30,Greed,26.70771,53.41542,8896.630000000001,0.5,68,
2024-01-02,Greed,35.044181,35.044181,272.58,1.0,71,
2024-01-03,Greed,5.607194,11.214388,2328.65,0.5,70,
2024-01-06,Greed,-65.05187049999999,-130.10374099999999,48541.13,0.5,70,
2024-01-07,Greed,-0.413223,-0.826446,1422.98,0.0,71,
2024-01-09,Extreme Greed,-1.721206,-1.721206,6884.82,0.0,76,-6.501210999999998
2024-01-10,Greed,0.36545,0.7309,5250.969999999999,1.0,73,-4.606643428571426
2024-01-17,Greed,-5.68427,-11.36854,50744.8,0.5,60,-13.861494857142855
2024-01-18,Greed,199.100274,199.100274,92867.54,1.0,63,9.575089857142862
2024-01-20,Neutral,-1.662758,-1.662758,6651.03,0.0,52,7.735497571428576
2024-01-24,Neutral,-0.26275333333333334,-0.78826,3750.16,0.3333333333333333,48,26.209137714285713
2024-01-25,Neutral,-965.056485,-965.056485,20612.78,0.0,52,-111.53801071428572
2024-01-31,Greed,-2.742058625,-21.936469,93082.70999999999,0.25,60,-114.4259054285714
2024-02-05,Greed,14.025278,14.025278,1906.02,1.0,60,-112.52670857142856
2024-02-06,Greed,-5.879656875,-47.037255,113411.16,0.25,64,-117.62223928571427
2024-02-14,Greed,39.8540295,79.708059,21253.32,0.5,74,-134.67826999999997
2024-02-15,Greed,22.842714,22.842714,760.73,1.0,72,-131.17748828571425
2024-02-16,Greed,6.676503800000001,33.382519,4449.02,1.0,72,-126.29594842857144
2024-02-17,Extreme Greed,37.33216566666667,111.996497,8452.14,1.0,76,27.568763285714287
2024-02-18,Greed,5.287237999999999,5.287237999999999,127.92,1.0,72,31.457864285714287
2024-02-19,Extreme Greed,0.778492,0.778492,38924.6,1.0,75,29.565466285714287
2024-02-20,Greed,0.094268,0.094268,4713.43,1.0,72,36.298541
2024-02-23,Extreme Greed,11.917125,11.917125,305.36,1.0,76,26.61412185714286
2024-02-26,Greed,20.098811,20.098811,406.34,1.0,72,26.222135714285717
2024-02-28,Extreme Greed,833.649594,833.649594,25385.04,1.0,82,140.54600357142857
2024-02-29,Extreme Greed,46.358025,46.358025,1061.23,1.0,80,131.16907899999998
2024-03-01,Extreme Greed,4.736797,9.473594,10725.75,1.0,80,131.76712985714286
2024-03-04,Extreme Greed,109.10813116666668,654.6487870000001,59166.76,0.8333333333333334,82,225.177172
2024-03-05,Extreme Greed,35.4274575,70.854915,1753.9199999999998,1.0,90,235.28583585714287
2024-03-08,Extreme Greed,121.502608,121.502608,2000.44,1.0,81,250.94090485714287
2024-03-11,Extreme Greed,81.6696,163.3392,3353.64,1.0,82,271.4038175714286
2024-03-14,Extreme Greed,0.47807700000000003,0.47807700000000003,14.89,1.0,88,152.37931514285717
2024-03-15,Extreme Greed,365.92346599999996,731.8469319999999,16299.4,1.0,83,250.30630185714287
2024-03-20,Greed,15.099642000000001,15.099642000000001,444.52,1.0,74,251.11002299999998
2024-03-24,Greed,-1.146814,-1.146814,11945.98,0.0,74,157.42493714285712
2024-03-26,Extreme Greed,45.36669766666666,136.100093,3392.61,1.0,81,166.74567685714283
2024-03-27,Extreme Greed,-6.15196,-6.15196,997.52,0.0,83,148.50931
2024-03-28,Extreme Greed,-0.745808,-0.745808,7768.85,0.0,80,125.06859457142856
2024-04-01,Extreme Greed,-0.9157285,-1.831457,5501.48,0.0,79,124.73866114285714
2024-04-02,Extreme Greed,-0.111767,-0.111767,319.34,0.0,79,20.173132714285714
